"Drum Machine","Duration","Equal Loudness","RMS","Temporal Centroid","Spectral Centroid","Spectral Centroid 1","Spectral Centroid 2","Spectral Kurtosis","Pitch Salience"
"Jomox Xbase-09","0.297142857142857","6.225378592809043","-1.7720982842129391","0.14626875768105185","1895.4005737304697","1689.1101277669259","2311.961059570312","4.577050457398094","0.6538108338912328"
"Kawai K1","0.6541496598639456","129.16654586791998","13.983941187843024","0.3264999873936175","3274.2579956054674","2359.93960571289","2980.8162841796875","2.1297671794891353","0.27690266445279155"
"Kawai R-100","0.22857142857142848","17.38195514678955","5.7774461322142106","0.11771957203745839","2292.9915771484402","2139.59594726562","3331.69921875","1.6530864834785466","0.5671663582324985"
"Kawai R-50","0.31458201058201085","10.416802755991618","0.27230640398538963","0.15980166594187423","2711.811596679687","2530.565954589843","2862.042651367188","1.2705916002392776","0.4611660053332647"
"Kawai R-50e","0.30321995464852636","4.891469657421112","-3.0500919461472273","0.15424704458564523","2806.346069335936","2605.6787261962872","2945.5532379150395","1.3809392377734184","0.492570297792554"
"Kawai SX-240","0.4709297052154195","21.62857818603515","4.05007347244351","0.2378047034144405","3259.4390869140598","3356.5318603515652","531.194793701172","8.965609073638914","0.11130298301577551"
"Kawai XD-5","0.3054875283446711","3.4655769041606352","-6.5201973919399885","0.1615603278790203","2441.6312604631703","2538.6515415736585","2505.6097935267867","2.3767881904329586","0.3688871264457704"
"Kawai_ACR20","0.544943310657596","10.7622470855713","-1.12852762632469","0.262350887060165","3699.74487304688","3814.32202148438","2923.36059570312","1.35849344730377","0.17880642414093"
"Kay R8","0.1533968253968252","1.685593032836914","-7.68614103224691","0.07862094789743419","3836.2986816406255","3031.2825927734384","5338.9966796875","0.5993115067481997","0.7569191932678223"
"Keio Checkmate","0.203174603174603","8.34702968597412","1.50896327169391","0.102926671504974","3852.36596679688","3840.50463867188","4043.7568359375","4.89064121246338","0.390678346157074"
"Kent K-200 Rhythm Master","0.42956916099773235","5.002889792124431","-5.240697114500089","0.2113137791554133","3316.946533203127","1903.7834676106802","4627.813151041667","2.99239953358968","0.34040395418802866"
"Korg 01W","0.2669085411942557","15.862716674804686","4.393758432195285","0.13996702494720625","3678.560241699219","3283.3364868164062","3800.1889444986987","1.5589466517170267","0.3745977890988191"
"Korg DDD-1","0.24018140589569198","13.050484180450429","3.417151117116285","0.12707915529608727","3048.7243041992147","2571.67547607422","3442.4009399414026","0.9687201753258708","0.5378843024373055"
"Korg DDD-5","0.255419501133787","16.4389861424764","4.661994594609477","0.132682432730993","2639.63818359375","2495.0038248697933","2950.5271809895835","1.3177338639895135","0.5657601356506347"
"Korg DDM-110 Super Drums","0.146213151927438","14.85579061508175","6.74662194927226","0.07787485048174855","2727.8203125","1683.939758300785","3711.18823242188","1.00278553366661","0.680136173963547"
"Korg DRM-1","0.22766439909297026","16.2775559425354","5.311452956873085","0.11815208382904531","2876.64154052734","2495.1119384765625","3378.1705932617174","1.7935632467269902","0.5481613501906395"
"Korg KPR-77","0.18068027210884366","10.39701827367147","2.9750865680027876","0.09394248988893295","1746.4103597005223","1480.053927951389","2313.2163492838545","3.2581560346815333","0.7900952763027616"
"Korg KR-55 Rhythm 55","0.18959507612568868","9.935303347451342","2.8335122250804665","0.09728380824838369","2227.6253836495557","1823.7495814732156","3646.291748046874","2.3966965675354013","0.6780228529657636"
"Korg KRZ","0.605532879818594","107.22606849670395","13.0696989349699","0.303815230727196","3350.50634765625","3120.8572998046902","3382.5438232421902","1.8754858970642099","0.24961479194462285"
"Korg M1","0.36154195011337875","22.938652992248528","5.403826431528735","0.17974483035504826","2033.561004638675","1921.9345855712909","2183.735290527345","0.8182287961244575","0.5765485912561418"
"Korg Mini Pops 35","0.14327437641723356","4.8014882683753966","-0.3571369692299118","0.07267207601107654","1527.923010253906","1420.3923606872559","3060.0211120605463","2.5716987311840063","0.7814439244568347"
"Korg MP7 'Mini Pops'","0.2942403628117915","4.7209794521331805","-3.80905152697739","0.1474809497594835","3999.7498779296848","3880.3416748046848","4361.63427734375","3.5441274642944354","0.27494393289089203"
"Korg MS-10","0.198820861678005","25.0940227508545","8.73793807511381","0.104685083031654","3756.26245117188","3750.22485351562","3635.97802734375","2.42887020111084","0.199840381741524"
"Korg MS-20","0.0674829931972789","3.72029042243958","1.05757770299201","0.0376401357352734","1622.47009277344","1604.46435546875","1567.28234863281","0.332461595535278","0.90712034702301"
"Korg Pro-Wave MIDI Daughter Board","0.65124716553288","19.239151000976552","1.771448239572011","0.3168625235557555","2458.0189208984348","2553.34033203125","2345.5220947265598","2.284106016159055","0.1879986077547075"
"Korg Prophecy","0.187210884353742","22.259521484375","8.23918070316431","0.09927137196064","3098.12255859375","3085.06567382812","3141.2314453125","8.37418365478516","0.457579433917999"
"Korg PSS-50","0.1113832199546485","11.3146777153015","6.15487878733691","0.059950580820441246","2053.8905029296902","1611.057006835935","3576.9638671875","-0.011353135108947955","0.678810656070709"
"Korg Radias","0.23244142101284967","11.543547709782912","3.0128565495405777","0.11757432296872135","2847.9241333007817","2777.10546875","3106.5473429361987","2.967724521954855","0.4241134201486907"
"Korg SR-120","0.1226303854875285","4.38257455825806","-0.97887272972269","0.0629095695912838","3273.6785888671902","2910.7120361328098","4768.353271484375","1.616057455539705","0.6847730278968815"
"Korg T3","0.44770975056689355","19.16849040985108","3.46652177051043","0.22225099503993978","2240.228564453124","2191.891455078126","2570.430322265624","0.00008662790060042225","0.40488529801368695"
"Korg x5","0.8178261526832958","9.334012556076052","-4.183732821458251","0.3749636431535085","2640.1272786458326","2397.26553548177","2260.9520589192716","2.8823742032051087","0.36056129833062495"
"Korg-T1","0.4269085411942554","44.9321594238281","9.170143716276444","0.2167545408010483","2024.22424316406","2010.767578125","1839.9328206380198","1.2298996845881136","0.3698925524950027"
"Kurzweil K2000","0.8315646258503403","12.07270320256554","-2.5596801351057223","0.3913410305976866","2377.6055501302103","1959.8779296875034","1824.5010986328143","1.274842441082","0.266715596119563"
"Lel PSR","0.0928798185941043","9.34567832946777","5.72446458192371","0.050720252096653","2252.89379882812","1850.33605957031","2993.74975585938","2.76584005355835","0.694858908653259"
