Index,Drum Machine,Duration,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Centroid 1,Spectral Centroid 2,Spectral Kurtosis,Pitch Salience
3420,Yamaha RM 50,0.518820862,2.191771507,-11.2182537,0.249619558,798.0330811,907.87677,209.9170532,14.40457726,0.841885924
3421,Yamaha RM 50,0.523174603,4.25307703,-6.960153356,0.251152813,2976.10498,3085.972656,902.2454224,9.93672657,0.36987704
3422,Yamaha RM 50,0.321451247,2.057344437,-9.552891295,0.164373621,1413.391602,2145.209717,753.8452148,4.361037254,0.760779738
3423,Yamaha RM 50,0.424489796,2.274764061,-10.11363662,0.209143803,2186.331055,2922.421387,701.291687,3.348899126,0.670207918
3424,Yamaha RM 50,0.38675737,2.698695898,-8.592031342,0.192176357,1572.196655,1881.956299,408.9343872,13.57929993,0.686829627
3425,Yamaha RM 50,0.499954649,2.435190916,-10.37921536,0.240780845,2361.494629,2551.268555,2586.051025,3.54595542,0.540759921
3426,Yamaha RM 50,0.293877551,4.00106287,-4.838349468,0.145943314,2812.126953,3089.880127,1610.296387,8.919322014,0.270079523
3427,Yamaha RM 50,0.573968254,2.759411573,-10.16646003,0.277934879,1628.781982,2587.582275,1129.712158,3.490545511,0.662926435
3428,Yamaha RM 50,0.311292517,4.353321075,-4.544577482,0.155129537,2771.213867,3119.964355,1798.531372,6.824672222,0.372369885
3429,Yamaha RM 50,0.587755102,2.731631756,-10.33972157,0.280309826,2677.421875,3112.194092,1548.309082,9.74434948,0.35066852
3430,Yamaha RM 50,0.498503401,2.189472914,-11.06195595,0.242214695,1589.416138,2046.763916,895.8688354,3.392636538,0.741663396
3431,Yamaha RM 50,0.882358277,1.78114593,-14.87797868,0.408501327,1982.096069,2692.89502,522.645874,11.22657394,0.534607112
3432,Yamaha RM 50,1.088435374,2.894410133,-12.64209052,0.491951197,2245.850586,3052.901855,278.2614746,16.21232605,0.342899293
3433,Yamaha RM 50,0.472380952,1.369030356,-13.86678221,0.233031243,1435.515259,2302.722168,746.2163696,5.461678505,0.765445471
3434,Yamaha RM 50,1.142857143,3.510898352,-11.60115722,0.515199184,1396.184326,1943.437744,251.5804443,17.17955017,0.51001817
3435,Yamaha RM 50,0.156734694,1.847569585,-7.088527223,0.082660891,2256.640137,3125.213623,207.3417816,9.294034958,0.777776778
3436,Yamaha RM 50,0.810521542,2.146505594,-13.29628437,0.375758022,2670.854004,3046.931152,560.1392212,4.534415245,0.489239722
3437,Yamaha RM 50,0.312743764,2.212512255,-8.951955089,0.158504188,1719.55542,2515.808594,300.5066833,6.635155201,0.79757762
3438,Yamaha RM 50,0.461496599,3.122126579,-8.419406233,0.224318773,1833.576172,2272.312256,833.3696289,3.103754759,0.735506952
3439,Yamaha RM 50,0.959274376,3.883662224,-10.18218464,0.437551945,2882.990723,3210.837158,1192.063843,4.884068012,0.533208668
3440,Yamaha RM 50,0.35845805,1.099977374,-14.07675025,0.177192301,2024.368042,2725.202637,278.7892456,14.23165703,0.734859109
3441,Yamaha RM 50,0.403446712,2.407953024,-9.527197107,0.202095777,2545.520264,3712.996826,408.7823181,3.52889061,0.624870539
3442,Yamaha RM 50,0.26122449,2.757707357,-6.745859496,0.134337574,2644.0354,3484.759277,249.0275574,8.422000885,0.670489609
3443,Yamaha RM 50,0.118276644,0.943762362,-10.20782489,0.061938774,2290.782959,2680.614014,1194.437744,2.032417297,0.678983331
3552,Yamaha RX,0.134965986,3.423741817,-2.49116707,0.071309254,1284.879395,1346.984619,721.387207,3.364720106,0.920264184
3556,Yamaha RX-15,0.158185941,8.495087624,2.709947033,0.0854536,2784.758789,3402.820068,361.461853,2.550298452,0.668469012
3557,Yamaha RX-15,0.138594104,7.518176556,2.492307544,0.07413885,2900.121582,3136.60083,1321.760376,5.709799767,0.550608516
3560,Yamaha RX-17,0.10521542,3.414875269,-1.425590049,0.059391674,1219.564697,1343.590454,646.9130859,2.379048586,0.921031177
3562,Yamaha RX-21,0.134965986,3.252401829,-2.823955037,0.071510121,1258.171875,1314.997559,748.1490479,2.25208354,0.920463443
4200,Yamaha RX-21,0.134965986,3.252401829,-2.823955037,0.071510121,1258.171875,1314.997559,748.1490479,2.25208354,0.920463443
3564,Yamaha RX-5,0.150929705,2.613308191,-4.727572665,0.077471286,2609.306152,2651.362549,1886.524292,1.027298927,0.686172247
3565,Yamaha RX-5,0.114648526,4.382728577,-0.154384564,0.059979029,1673.396118,1769.940186,620.4934082,5.718473911,0.845988214
3566,Yamaha RX-5,0.111020408,3.485027552,-1.493215544,0.057023857,1815.181885,1817.637695,832.7040405,5.886759758,0.760942996
3567,Yamaha RX-5,0.235102041,2.492102146,-6.950156866,0.118612118,2288.201416,2401.624756,1018.067688,2.416940212,0.676037908
3568,Yamaha RX-5,0.264126984,3.590152979,-5.087836963,0.135626644,765.6320801,833.2209473,565.1083374,3.037424326,0.931064725
3569,Yamaha RX-5,0.922267574,4.162079334,-9.571681862,0.423666298,2538.70459,2579.232178,2120.116455,3.579033136,0.216670513
