"Window Length","Window Start","HFC"
"250","100","26.2876167297363"
"500","20","20.5855770111084"
"500","50","16.8396072387695"
"500","100","13.5811910629272"
"0","0","382.7685546875"
"25","20","1055.978515625"
"25","50","976.4365234375"
"25","100","470.362213134766"
"100","20","745.598205566406"
"100","50","625.255554199219"
"100","100","328.325286865234"
"250","20","360.265533447266"
"250","50","316.152252197266"
"250","100","185.189559936523"
"500","20","360.265533447266"
"500","50","316.152252197266"
"500","100","185.189559936523"
"0","0","9.89141464233398"
"25","20","72.4539794921875"
"25","50","67.5043716430664"
"25","100","54.2793769836426"
"100","20","47.1514472961426"
"100","50","44.0088081359863"
"100","100","32.2243347167969"
"250","20","22.583080291748"
"250","50","21.1145000457764"
"250","100","15.6436252593994"
"500","20","11.6253566741943"
"500","50","10.8695621490479"
"500","100","8.05462265014648"
"0","0","18.3253993988037"
"25","20","126.016204833984"
"25","50","84.9448623657227"
"25","100","56.857982635498"
"100","20","79.9710464477539"
"100","50","65.9302368164062"
"100","100","40.8838157653809"
"250","20","39.9119987487793"
"250","50","33.6647720336914"
"250","100","21.4741287231445"
"500","20","21.4316654205322"
"500","50","18.2030010223389"
"500","100","11.7892179489136"
"0","0","24.0336322784424"
"25","20","151.20817565918"
"25","50","125.968627929688"
"25","100","86.1885757446289"
"100","20","101.315414428711"
"100","50","86.5804595947266"
"100","100","59.0915985107422"
"250","20","48.1665534973145"
"250","50","41.1591796875"
"250","100","27.8488826751709"
"500","20","24.8135356903076"
"500","50","21.2086601257324"
"500","100","14.3721914291382"
"0","0","23.6957721710205"
"25","20","124.308952331543"
"25","50","114.056312561035"
"25","100","70.1800994873047"
"100","20","107.155670166016"
"100","50","94.6659774780273"
"100","100","60.1494064331055"
"250","20","60.7455177307129"
"250","50","54.5343208312988"
"250","100","36.3730773925781"
"500","20","33.540958404541"
"500","50","30.181116104126"
"500","100","20.3559741973877"
"0","0","26.4813747406006"
"25","20","172.411727905273"
"25","50","144.111618041992"
"25","100","94.0598754882812"
"100","20","126.347076416016"
"100","50","111.402923583984"
"100","100","70.2583618164062"
"250","20","64.969123840332"
"250","50","57.3069534301758"
"250","100","36.5292053222656"
"500","20","33.7841262817383"
"500","50","29.7960090637207"
"500","100","18.9662399291992"
"0","0","5.50853395462036"
"25","20","49.2416687011719"
"25","50","33.3709297180176"
"25","100","27.7671718597412"
"100","20","33.257568359375"
"100","50","27.2080364227295"
"100","100","19.7447490692139"
"250","20","18.1361236572266"
"250","50","15.352819442749"
"250","100","11.5012454986572"
"500","20","9.76156711578369"
"500","50","8.29831886291504"
"500","100","6.21477317810059"
"0","0","20.7142639160156"
"25","20","151.784957885742"
"25","50","135.64924621582"
"25","100","91.1020278930664"
"100","20","120.756446838379"
"100","50","109.181831359863"
"100","100","75.5064468383789"
"250","20","68.8713073730469"
"250","50","62.6312828063965"
"250","100","43.6663131713867"
"500","20","36.7654151916504"
"500","50","33.4360122680664"
"500","100","23.3146858215332"
"0","0","31.8287696838379"
"25","20","52.4673805236816"
"25","50","114.502479553223"
"25","100","109.042335510254"
"100","20","128.396713256836"
"100","50","139.305328369141"
"100","100","107.016487121582"
"250","20","95.8037796020508"
"250","50","88.7442474365234"
"250","100","60.290153503418"
"500","20","51.1756324768066"
"500","50","46.791690826416"
"500","100","31.5222339630127"
"0","0","21.9650268554688"
"25","20","140.063323974609"
"25","50","126.522521972656"
"25","100","84.0885696411133"
"100","20","114.794151306152"
"100","50","106.635093688965"
"100","100","73.0886917114258"
"250","20","65.8845443725586"
"250","50","60.1819114685059"
"250","100","41.410758972168"
"500","20","34.7479705810547"
"500","50","31.7193908691406"
"500","100","21.8183822631836"
"0","0","11.2083644866943"
"25","20","117.200004577637"
"25","50","81.9136047363281"
"25","100","38.9302062988281"
"100","20","78.531623840332"
"100","50","66.0141448974609"
"100","100","42.6689262390137"
"250","20","50.5495948791504"
"250","50","44.8991203308105"
"250","100","30.3820686340332"
"500","20","32.133960723877"
"500","50","29.1254825592041"
"500","100","20.5910320281982"
"0","0","141.724212646484"
"25","20","610.289672851562"
"25","50","521.55078125"
"25","100","308.057220458984"
"100","20","446.578216552734"
"100","50","382.421661376953"
"100","100","245.097808837891"
"250","20","222.866973876953"
"250","50","191.222351074219"
"250","100","122.876495361328"
"500","20","132.921188354492"
"500","50","115.572868347168"
"500","100","78.4208984375"
"0","0","101.309051513672"
"25","20","386.715698242188"
"25","50","318.671630859375"
"25","100","147.425003051758"
"100","20","143.587478637695"
"100","50","118.874816894531"
"100","100","54.6467590332031"
"250","20","88.7055435180664"
"250","50","75.9685211181641"
"250","100","37.6577529907227"
"500","20","88.7055435180664"
"500","50","75.9685211181641"
"500","100","37.6577529907227"
"0","0","47.4199676513672"
"25","20","344.407745361328"
"25","50","316.658355712891"
"25","100","183.88720703125"
"100","20","280.809906005859"
"100","50","245.625778198242"
"100","100","164.666748046875"
"250","20","153.063690185547"
"250","50","134.629531860352"
"250","100","89.3474349975586"
"500","20","80.9317169189453"
"500","50","71.2848129272461"
"500","100","47.3473777770996"
"0","0","38.6194839477539"
"25","20","222.758422851562"
"25","50","164.829895019531"
"25","100","80.9184188842773"
"100","20","154.976303100586"
"100","50","132.480590820312"
"100","100","83.8799209594727"
"250","20","97.3062057495117"
"250","50","83.7785034179688"
"250","100","43.6158294677734"
"500","20","51.7518768310547"
"500","50","44.7450752258301"
"500","100","23.1125736236572"
"0","0","455.516021728516"
"25","20","1197.890625"
"25","50","1049.17468261719"
"25","100","696.221130371094"
"100","20","667.786682128906"
"100","50","561.306823730469"
"100","100","348.6376953125"
"250","20","445.380249023438"
"250","50","386.229431152344"
"250","100","257.120666503906"
"500","20","445.380249023438"
"500","50","386.229431152344"
"500","100","257.120666503906"
"0","0","115.754188537598"
"25","20","762.384948730469"
"25","50","620.012451171875"
"25","100","356.482696533203"
"100","20","442.432922363281"
"100","50","359.610748291016"
"100","100","211.285690307617"
"250","20","201.494567871094"
"250","50","165.120788574219"
"250","100","99.1886367797852"
"500","20","105.876136779785"
"500","50","88.858024597168"
"500","100","55.4111862182617"
"0","0","120.214508056641"
"25","20","501.833221435547"
"25","50","343.220977783203"
"25","100","390.677856445312"
"100","20","470.468017578125"
"100","50","403.268646240234"
"100","100","299.381774902344"
"250","20","255.459411621094"
"250","50","220.720306396484"
"250","100","156.624237060547"
"500","20","136.932754516602"
"500","50","118.708343505859"
"500","100","84.0505828857422"
"0","0","53.5522651672363"
"25","20","183.226638793945"
"25","50","189.288925170898"
"25","100","149.715972900391"
