Index,Drum Machine,Type,Duration,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
548,Boss DR-202 Dr. Groove,sn,-0.592476489,1.451661248,1.51797693,-0.581710534,-0.721675702,-0.479617151,0.838591354
549,Boss DR-202 Dr. Groove,sn,-0.912225705,0.155184991,1.273659429,-0.926321715,0.610695853,-0.239492038,0.318235755
550,Boss DR-202 Dr. Groove,sn,0.482758621,2.080360447,0.951552828,0.494492987,-0.472983768,-0.166988042,0
551,Boss DR-202 Dr. Groove,sn,0.401253918,1.985940791,0.956522959,0.408233763,-0.112770876,0.813837918,-0.110833565
552,Boss DR-202 Dr. Groove,sn,0.006269592,0.214473135,0.174653127,-0.009008316,-0.249508086,0.224984793,-0.73074278
554,Boss DR-202 Dr. Groove,sn,0.257053292,1.227169138,0.695329422,0.238375712,-0.653411783,-1.087906707,0.710305632
555,Boss DR-202 Dr. Groove,sn,-0.423197492,1.847194463,1.493070021,-0.417339677,0.212395035,-0.873508819,-0.234113534
556,Boss DR-202 Dr. Groove,sn,-0.398119122,1.092873408,1.11348775,-0.4016747,0.160930503,-0.14548967,-0.233530743
557,Boss DR-202 Dr. Groove,sn,0.012539185,0.606656696,0.477814336,0.004697641,0.567454568,-0.026483916,-0.669846305
558,Boss DR-202 Dr. Groove,sn,-0.611285266,0.358364975,0.880047294,-0.610136458,0.00858997,-0.548552607,-0.569433978
559,Boss DR-202 Dr. Groove,sn,-0.369905956,0.539853897,0.738755079,-0.369733914,-0.418714224,-0.746571454,0.569060874
560,Boss DR-202 Dr. Groove,sn,-0.357366771,0.226563006,0.480059585,-0.364651217,-0.099054291,0.929857817,-0.171872543
561,Boss DR-202 Dr. Groove,sn,-0.699059561,0.186161064,0.864730453,-0.713933877,0.062540783,-0.139762387,-0.459008359
562,Boss DR-202 Dr. Groove,sn,0.435736677,3.578549758,1.445226192,0.450448875,-0.312413394,-0.728570087,-0.550948225
563,Boss DR-202 Dr. Groove,sn,0.4169279,0.542612435,0.195077604,0.389031847,-0.486500505,0.462348297,-0.562507704
564,Boss DR-202 Dr. Groove,sn,-0.21630094,0.800785564,0.776059813,-0.217028805,0.01971055,0.00178057,0.313711998
565,Boss DR-202 Dr. Groove,sn,-0.081504702,0.881941287,0.720378243,-0.0913466,-0.200335849,-0.72239063,0.714378744
566,Boss DR-202 Dr. Groove,sn,0.244514107,1.095747897,0.633050611,0.232846408,-0.283817041,-0.557424157,0.500753232
567,Boss DR-202 Dr. Groove,sn,-0.285266458,2.648766287,1.652924874,-0.261848432,-0.216930533,-0.118560916,-0.056519586
568,Boss DR-202 Dr. Groove,sn,-0.059561129,0.982649238,0.763084958,-0.063155348,0.479003744,0.371409501,-0.588299185
569,Boss DR-202 Dr. Groove,sn,0.137931034,1.340235323,0.817589383,0.133899387,-0.084048863,-0.271965346,0.105651855
570,Boss DR-202 Dr. Groove,sn,-0.332288401,-0.152279321,0.064028502,-0.337180783,-0.341650871,-0.800577668,0.7517828
571,Boss DR-202 Dr. Groove,sn,-0.39184953,0.001188407,0.28992419,-0.378566672,0.047132912,-0.370616698,-0.604056699
572,Boss DR-202 Dr. Groove,sn,-0.250783699,0.175188176,0.332146177,-0.239955739,0.925515113,-0.550976087,-0.964433348
573,Boss DR-202 Dr. Groove,sn,-0.815047022,-0.235493787,0.616851132,-0.836004874,0.24862828,-0.126883354,-0.1067295
574,Boss DR-202 Dr. Groove,sn,0.056426332,0.688783067,0.502863792,0.06106578,-0.817848229,-0.522076988,0.607365904
576,Boss DR-202 Dr. Groove,sn,-0.278996865,0.075203031,0.265064522,-0.27334218,0.448366234,-0.214316047,-0.589079997
