Index,Drum Machine,Type,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Centroid 1,Spectral Centroid 2,Spectral Kurtosis,Pitch Salience
837,Cheetah MD-16,sn,0.118694722,0.71562197,0.127270907,0.43216335,0.333724005,0.449263709,0.003004256,0.475069856
838,Cheetah MD-16,sn,0.074432066,0.654161424,0.104769261,0.449757995,0.242052931,0.505877353,0.002356077,0.662285832
839,Cheetah MD-16,sn,0.044630546,0.612374533,0.066521581,0.440846889,0.460579003,0.521560354,0.003836856,0.439413096
840,Cheetah MD-16,sn,0.05926431,0.664799293,0.066614321,0.441546252,0.470283095,0.513870284,0.00410696,0.458009701
841,Cheetah MD-16,sn,0.085759587,0.713257319,0.079926698,0.415512999,0.361961657,0.593082179,0.002268922,0.637995305
842,Cheetah MD-16,sn,0.041138794,0.529684692,0.116972638,0.462825278,0.491554819,0.383571809,0.003520979,0.117888225
843,Cheetah MD-16,sn,0.069747414,0.616212803,0.126783387,0.408201149,0.352744513,0.528120302,0.003282714,0.543247924
844,Cheetah MD-16,sn,0.081181283,0.633215836,0.138028961,0.483180503,0.474974042,0.46869809,0.004236946,0.376658853
845,Deep Sky 1 Drumbox,ki,0.032849971,0.387614114,0.24259348,0.0377666,0.047336351,0.001424007,0.244427951,0.639527633
846,Deep Sky 1 Drumbox,ki,0.038210589,0.487993657,0.140881936,0.107271598,0.143438422,0.001777865,0.402085418,0.708177598
847,Deep Sky 1 Drumbox,ki,0.012179558,0.201873836,0.277585104,0.023030086,0.026740395,0.022176681,0.036505018,0.804964211
848,Deep Sky 1 Drumbox,ki,0.029783372,0.405108804,0.187938687,0.03355015,0.040731475,0.028152709,0.03371865,0.801709935
849,Deep Sky 1 Drumbox,ki,0.041687525,0.415401113,0.270610023,0.06081002,0.085864814,0.001515998,0.214403278,0.472471225
850,Deep Sky 1 Drumbox,ki,0.055411114,0.523377417,0.18050073,0.083047625,0.132072478,0.002539597,0.237050165,0.69367176
851,Deep Sky 1 Drumbox,ki,0.02693666,0.359130672,0.231808113,0.130998395,0.167646267,0.003876452,0.240047192,0.394590662
852,Deep Sky 1 Drumbox,ki,0.014540407,0.286498756,0.185416581,0.031728489,0.050523645,0.004452418,0.155254578,0.935198156
853,Deep Sky 1 Drumbox,ki,0.092944759,0.643066336,0.15906687,0.125480238,0.182858915,0.032916604,0.032104939,0.692009396
854,Deep Sky 1 Drumbox,ki,0.215732361,0.834144808,0.121987361,0.039498593,0.048890464,0.015212412,0.053709055,0.894627004
855,Deep Sky 1 Drumbox,ki,0.135859599,0.727819137,0.141481333,0.106644219,0.100941875,0.137189248,0.01054516,0.83242988
856,Deep Sky 1 Drumbox,ki,0.081821405,0.619739396,0.152695219,0.025732432,0.039655277,0.006610612,0.098515032,0.921615812
857,Deep Sky 1 Drumbox,ki,0.084952896,0.640152221,0.138184119,0.029079284,0.045659712,0.006192218,0.100621782,0.937920608
858,Deep Sky 1 Drumbox,ki,0.047063564,0.548405369,0.120130462,0.007801751,0.010224672,0.007375882,0.10549415,0.978036945
859,Deep Sky 1 Drumbox,ki,0.03982018,0.498824557,0.139973057,0.054641419,0.1094197,0.003684424,0.055111309,0.801470223
860,Deep Sky 1 Drumbox,ki,0.061800686,0.582375972,0.142376173,0.184649548,0.243797295,0.154925719,0.011679889,0.630799847
861,Deep Sky 1 Drumbox,ki,0.044397908,0.523106922,0.140878467,0.215670705,0.284633012,0.231467049,0.00588341,0.711066249
862,Deep Sky 1 Drumbox,ki,0.055605237,0.564743411,0.133697316,0.034790352,0.045529589,0.006877842,0.085568081,0.858205205
863,Deep Sky 1 Drumbox,ki,0.081128751,0.630036749,0.137615504,0.053870217,0.070553636,0.006732766,0.078558842,0.766586436
864,Deep Sky 1 Drumbox,ki,0.088269089,0.647312021,0.136863159,0.053109333,0.0735804,0.003958454,0.283378954,0.72181328
865,Deep Sky 1 Drumbox,ki,0.065372295,0.580639132,0.146746713,0.06079143,0.071997173,0.00682869,0.081576538,0.734122931
866,Deep Sky 1 Drumbox,ki,0.069303538,0.615508477,0.123886308,0.044637804,0.05716867,0.007464036,0.078568591,0.818920424
867,Deep Sky 1 Drumbox,ki,0.064638695,0.593556653,0.130501408,0.224201738,0.268667984,0.006851076,0.067639601,0.62084771
868,Deep Sky 1 Drumbox,ki,0.038097459,0.506627348,0.124680358,0.022332462,0.034970752,0.007116883,0.079670447,0.927902329
869,Deep Sky 1 Drumbox,ki,0.064903606,0.564164354,0.164462235,0.061158066,0.071997173,0.007279121,0.070452848,0.669198858
870,Deep Sky 1 Drumbox,ki,0.077435497,0.620915345,0.139780415,0.123166683,0.136595134,0.100238191,0.011967918,0.707297137
871,Doepfer MS-404,ki,0.086153699,0.530719655,0.309040921,0.025742195,0.035219622,0.503311632,0.018614676,0.544598064
872,Doepfer MS-404,sn,0.023788026,0.371374181,0.18265861,0.32192837,0.315438356,0.294143032,0.004339856,0.20824965
873,E-MU Drumulator,ki,0.035718067,0.654983648,0.035718733,0.133057904,0.154344573,0.041469297,0.004157302,0.94163788
874,E-MU Drumulator,sn,0.096630995,0.757977154,0.070911057,0.155764904,0.214306585,0.346420092,0.001178311,0.917165978
875,E-MU Drumulator,ki,0.061230748,0.688726869,0.063407296,0.684885564,0.792767436,0.609902118,0.001250311,0.433124955
876,E-MU Drumulator,ki,0.03447349,0.485329847,0.129555056,0.045301371,0.084625872,0.083185863,0.006033211,0.964023709
877,E-MU Drumulator,ki,0.030580755,0.599429758,0.045312898,0.277269101,0.396768279,0.030716641,0.010023881,0.849698705
878,E-MU Drumulator,ki,0.02627914,0.520972604,0.065473923,0.412008531,0.474716803,0.027743532,0.007171897,0.606178734
879,E-MU Drumulator,ki,0.05326186,0.781243111,0.022744301,0.085480221,0.101601382,0.034313954,0.01268761,0.986353075
880,E-MU Drumulator,ki,0.044016837,0.656318512,0.04715727,0.330881778,0.397662555,0.081039186,0.004744188,0.689031494
881,E-MU Drumulator,ki,0.052966049,0.558218343,0.131514873,0.409254329,0.468882646,0.224111863,0.002711942,0.583617588
882,E-MU Drumulator,ki,0.038625897,0.606473402,0.058004113,0.526979014,0.652397922,0.256598999,0.002965778,0.624313904
883,E-MU Drumulator,ki,0.028566664,0.467344893,0.114715579,0.237022877,0.391497941,0.079675179,0.020326783,0.745031602
884,E-MU Drumulator,ki,0.041948711,0.478090074,0.176075233,0.043459247,0.072485999,0.11437362,0.017669843,0.940106489
885,E-MU Drumulator,ki,0.058085499,0.688981204,0.056350567,0.3510045,0.571778414,0.111133785,0.003583751,0.756217583
886,E-MU Drumulator,ki,0.079720895,0.647374952,0.118839285,0.510020442,0.619214489,0.447983707,0.004740543,0.544426306
887,E-MU Drumulator,sn,0.064779626,0.699734901,0.062566326,0.542691984,0.423295451,0.624145043,0.00197972,0.563459738
888,E-MU Drumulator,sn,0.095853001,0.591819853,0.239654342,0.558542604,0.44763843,0.444735169,0.003153892,0.240630524
889,E-MU Drumulator,sn,0.116275658,0.6844387,0.159525137,0.479167737,0.563644539,0.366425318,0.002137611,0.168004214
890,E-MU Drumulator,sn,0.103793943,0.775537149,0.070156948,0.737607854,0.795793207,0.631683682,0.004006832,0.418846431
891,E-MU Drumulator,sn,0.068999088,0.670022338,0.08360734,0.440540766,0.398704494,0.550132008,0.003360721,0.638057076
892,E-MU Drumulator,sn,0.096630699,0.773598115,0.062115378,0.682912533,0.750383496,0.588647706,0.002646436,0.23315713
893,E-MU Drumulator,sn,0.143545796,0.864708087,0.055532848,0.159800602,0.211350265,0.217862627,0.00169101,0.91034364
894,E-MU Drumulator,sn,0.121470815,0.734917019,0.114060837,0.416477581,0.210226234,0.460505248,0.001262847,0.646336918
895,E-MU Drumulator,sn,0.049622813,0.560439536,0.120731599,0.64942266,0.710267727,0.621559283,0.001487409,0.334189248
896,E-MU Drumulator,ki,0.034284595,0.651637054,0.03348664,0.143159521,0.165628901,0.064042065,0.003296295,0.933468963
897,E-MU Drumulator,sn,0.099410819,0.75457695,0.073022111,0.166217149,0.19111367,0.281364165,0.003707961,0.910135345
898,E-MU Drumulator,ki,0.038206608,0.693894916,0.027474762,0.124534175,0.154558326,0.035332197,0.005948934,0.947740148
899,E-MU Drumulator,ki,0.034199726,0.666065178,0.02957757,0.143398022,0.165776517,0.054448674,0.002668037,0.93328259
900,E-MU Drumulator,ki,0.042648261,0.808106909,0.011277733,0.071584149,0.07748763,0.045681629,0.023801345,0.997343003
901,E-MU Drumulator,ki,0.03248286,0.615010856,0.040373266,0.378751285,0.433227821,0.150132278,0.00506478,0.677716913
902,E-MU Drumulator,ki,0.064815255,0.623779699,0.109861246,0.147571309,0.226244326,0.037301546,0.011231517,0.818830673
903,E-MU Drumulator,sn,0.132896753,0.836563863,0.06017873,0.186412111,0.217196337,0.306863382,0.002772851,0.901243983
904,E-MU Drumulator,sn,0.099668734,0.762095514,0.069211879,0.165919009,0.191112944,0.375187388,0.002574541,0.910402037
905,E-MU Drumulator,sn,0.081719242,0.671602863,0.101635176,0.397428738,0.245452917,0.424371301,0.003583923,0.668297474
906,E-MU Drumulator,sn,0.134697384,0.735177854,0.133555773,0.40202581,0.333124144,0.358771471,0.004027037,0.200624798
907,E-MU Drumulator,sn,0.100264425,0.828973211,0.039968775,0.154160618,0.167231992,0.172233695,0.002545456,0.91575769
908,E-MU Drumulator,sn,0.176514198,0.801192655,0.11922832,0.207572951,0.208098666,0.13578035,0.00522393,0.566261011
909,E-MU Drumulator,sn,0.024471872,0.654581727,0.018582876,0.503250716,0.554336542,0.293489034,0.003137378,0.637559666
910,E-MU Drumulator,sn,0.100611754,0.873586895,0.027982679,0.098479574,0.102119173,0.206001041,0.00237621,0.971023301
911,E-MU E-Drum,ki,0.014783796,0.397785107,0.079401581,0.121132604,0.132046105,0.104902092,0.005628661,0.884913704
912,E-MU E-Drum,ki,0.022423447,0.499366943,0.062324941,0.215953701,0.255301765,0.038117003,0.007635053,0.838632579
