Drum Machine,Type,Duration,Loudness,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
Alesis D4 fx,sn,1.622494331,49.38661957,15.87860394,-7.53551767,0.703287065,2230.200928,-0.025815092,0.372478664
Alesis D4 fx,sn,0.439727891,45.08352661,21.72759247,-2.438714263,0.219421759,3384.863525,2.376977921,0.108455487
Alesis D4 fx,sn,0.175600907,16.87460136,9.236639977,-4.797520004,0.089789875,3438.893311,3.198417664,0.26681301
Alesis D4 fx,sn,0.928072562,83.3745575,20.87246513,-1.708423895,0.431744307,2959.889893,3.49218297,0.131853774
Alesis D4 fx,sn,0.726349206,114.1411667,17.4119606,1.385202945,0.352418989,2525.360352,1.564332724,0.331491172
Alesis D4 fx,sn,0.1661678,44.56847382,21.81671143,1.73234936,0.086525597,3900.769043,1.204302788,0.272143096
Alesis D4 fx,sn,0.493424036,35.62172318,19.68279076,-4.47092296,0.241245791,3715.538574,3.879257917,0.119931094
Alesis D4 fx,sn,0.595736961,61.80567169,21.64618492,-1.720286047,0.291572899,2875.455322,2.918624878,0.089275293
Alesis D4 fx,sn,0.701678005,95.78020477,18.27795601,0.407456095,0.346408635,2768.588623,1.564136624,0.192551762
Alesis DM5,ki,0.371519274,70.44610596,15.45730591,1.168704595,0.183055922,253.0526886,19.92338562,0.891199708
Alesis DM5,ki,0.219863946,80.24234772,8.687964439,4.290958204,0.113279462,317.7947693,56.42241287,0.96665448
Alesis DM5,ki,0.617505669,58.43317032,5.493241787,-2.249794626,0.294939309,367.6039124,23.13946724,0.713995337
Alesis DM5,ki,0.101587302,110.3948822,7.364619255,9.711944076,0.059562568,98.85674286,95.90565491,0.998449087
Alesis DM5,ki,0.592108844,149.2627411,9.304156303,4.011584228,0.284126401,366.0020142,30.43862534,0.7623927
Alesis DM5,ki,0.654512472,81.82272339,5.873834133,-0.320259021,0.31108588,1281.734985,7.25018549,0.573036134
Alesis DM5,ki,0.208253968,62.61135101,7.842237949,2.918348341,0.107109338,513.0327148,63.8838768,0.874794126
Alesis DM5,ki,0.423038549,42.00705719,3.660608053,-2.746545212,0.206624746,1021.65741,5.920249939,0.857802629
Alesis DM5,ki,0.341043084,35.88935852,4.076034546,-2.831086079,0.167571068,789.687561,4.278698921,0.910002768
Alesis DM5,ki,0.574693878,78.33148956,6.044998646,-0.038095661,0.281176001,1685.868042,3.987865448,0.446574271
Alesis DM5,ki,0.361360544,43.87545395,2.828537703,-1.780073344,0.177140683,1387.5979,4.079351902,0.845953703
Alesis DM5,ki,0.403446712,68.70248413,2.999979496,0.648200255,0.196937069,1106.453857,9.312200546,0.835795462
Alesis DM5,ki,0.692244898,189.2306976,6.780279636,4.87091479,0.32675463,280.3917542,32.0482254,0.818894327
Alesis DM5,ki,0.740136054,53.68796921,3.097212315,-3.58535962,0.343890429,741.1083984,10.90349579,0.72253108
Alesis DM5,ki,0.744489796,72.43196869,5.10014677,-1.669870145,0.346794546,1359.690186,4.633045673,0.774881721
Alesis DM5,ki,0.693696145,47.80907822,3.443773985,-4.055809858,0.323994696,798.7381592,8.969269753,0.722471178
Alesis DM5,ki,0.54276644,60.38116074,5.626048565,-1.476947798,0.262050122,817.1272583,9.741737366,0.774278402
Alesis DM5,ki,0.371519274,68.15930939,5.951577663,0.954796968,0.189780906,1463.187378,3.236432076,0.220631242
Alesis DM5,ki,0.347573696,36.84389114,3.561939478,-2.743316344,0.170216069,1032.526123,11.14239788,0.899245024
