Index,Drum Machine,Type,Duration,Loudness,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
1054,E-MU Xtreme Lead-1 Techno,ki,0.221315193,-0.137677977,-0.127195398,0.424463375,-0.498641571,-1.337930746,-0.004688035,1.303308228
1055,E-MU Xtreme Lead-1 Techno,ki,1.003537415,0.491660317,-0.377735215,-1.250642774,1.93666987,-1.388771209,-0.211715971,0.28335249
1056,E-MU Xtreme Lead-1 Techno,ki,1.000634921,0.118164318,-0.078369965,-0.784666429,1.969520815,-1.371270042,-0.130302031,-0.376259145
1057,E-MU Xtreme Lead-1 Techno,ki,0.228571429,0.116839761,-0.370015131,0.012520363,-0.470189203,-0.894779627,-0.066908108,1.171816908
1058,E-MU Xtreme Lead-1 Techno,ki,1.000634921,0.457550502,-0.428690499,-1.347611084,1.923699176,-1.264882434,-0.303807271,-0.588476387
1059,E-MU Xtreme Lead-1 Techno,sn,0.994104308,0.727368597,2.611901778,0.893838523,1.956794001,1.260994138,-0.334746317,-1.631735425
1060,E-MU Xtreme Lead-1 Techno,sn,0.230748299,-0.675017939,-0.042563287,0.49975321,-0.463933245,0.635352793,-0.316219869,-0.64875009
1061,E-MU Xtreme Lead-1 Techno,sn,0.112471655,-0.599623653,-0.198258076,0.895663775,-0.85770841,1.820483136,-0.389976208,-0.53582493
1062,E-MU Xtreme Lead-1 Techno,sn,0.136417234,-0.444455196,0.193433346,1.20930609,-0.781241582,0.056257416,-0.377408783,-0.317598708
1063,E-MU Xtreme Lead-1 Techno,sn,1.001360544,-0.569008743,-0.018869256,-0.710015489,1.95871584,1.226469703,-0.337207727,-1.525669453
1064,E-MU Xtreme Lead-1 Techno,sn,0.131337868,-0.503822723,0.243239857,1.290885302,-0.79482031,0.606816535,-0.372454418,-0.85973658
1065,E-MU Xtreme Lead-1 Techno,sn,1.004263039,-0.468543714,0.154289256,-0.51726158,1.976516033,1.79751062,-0.337180205,-1.671975821
1066,E-MU Xtreme Lead-1 Techno,sn,1.007165533,-0.403552307,-0.156914964,-0.896160383,2.003136031,2.595386138,-0.335479112,-1.926416506
1067,E-MU Xtreme Lead-1 Techno,sn,0.182857143,-0.518689205,0.270459804,1.037406406,-0.613463215,1.159234454,-0.33677176,-1.723162387
1068,E-MU Xtreme Lead-1 Techno,sn,0.251791383,-0.444633793,0.755592549,1.161480227,-0.353523489,1.320254484,-0.377126077,-1.49718655
1069,E-MU Xtreme Lead-1 Techno,sn,1.003537415,-0.467385924,0.443691937,-0.245119453,1.970962409,0.88134433,-0.333672867,-1.392582459
1070,E-MU Xtreme Lead-1 Techno,sn,1.002811791,-0.45483302,0.459242584,-0.231278232,1.994913687,1.150439294,-0.333358309,-1.818332129
1071,E-MU Xtreme Lead-1 Techno,sn,1.003537415,-0.472907341,0.166289448,-0.50378887,1.967854019,1.208275461,-0.331826296,-1.4098078
1072,E-MU Xtreme Lead-1 Techno,sn,0.104489796,-0.43690745,0.461228113,1.680555221,-0.876835958,1.618401736,-0.368655126,-0.94773522
1073,E-MU Xtreme Lead-1 Techno,sn,0.999183673,-0.632981192,0.070034152,-0.604366001,1.946249007,1.921893311,-0.31950095,-1.953765645
1074,E-MU Xtreme Lead-1 Techno,sn,0.19446712,-0.813425061,-0.601211903,-0.374024823,-0.591761166,0.341544972,-0.352285384,-1.709734397
1075,E-MU Xtreme Lead-1 Techno,sn,1.000634921,-0.820549942,-0.646747162,-1.892014281,1.937375746,0.022225753,-0.317671258,-1.607235226
